http://dbpedia.org/ontology/PopulatedPlace/populationDensity(object,v0) & <(v0,v1) & http://dbpedia.org/ontology/numberOfEmployees(subject,v1)
http://dbpedia.org/ontology/industry(subject,v0) & http://dbpedia.org/ontology/product(v1,v0) & http://dbpedia.org/ontology/regionServed(v1,object)
http://dbpedia.org/ontology/areaTotal(object,v0) & >(v0,v1) & http://dbpedia.org/ontology/foundingYear(subject,v1)
http://dbpedia.org/ontology/type(subject,v0) & http://dbpedia.org/ontology/type(v1,v0) & http://dbpedia.org/ontology/country(v1,object)
http://dbpedia.org/ontology/state(v0,object) & http://dbpedia.org/ontology/type(v0,v1) & http://dbpedia.org/ontology/type(subject,v1)
http://dbpedia.org/ontology/country(subject,object) & http://dbpedia.org/ontology/ethnicGroupsInYear(object,2011^^http://www.w3.org/2001/XMLSchema#gYear) & >(2011^^http://www.w3.org/2001/XMLSchema#gYear,2011^^http://www.w3.org/2001/XMLSchema#gYear)
http://dbpedia.org/ontology/sourceCountry(v0,object) & http://dbpedia.org/ontology/state(v0,object) & http://dbpedia.org/ontology/location(subject,object)
http://dbpedia.org/ontology/industry(subject,v0) & http://dbpedia.org/ontology/industry(v1,v0) & http://dbpedia.org/ontology/locationCountry(v1,object)
http://dbpedia.org/ontology/type(subject,v0) & http://dbpedia.org/ontology/type(v1,v0) & http://dbpedia.org/ontology/city(v1,object)
http://dbpedia.org/ontology/locationCountry(subject,object) & http://dbpedia.org/ontology/birthPlace(v0,object) & http://dbpedia.org/ontology/parent(v0,v0)
http://dbpedia.org/ontology/PopulatedPlace/populationDensity(object,v0) & <(v0,v1) & http://dbpedia.org/ontology/extinctionYear(subject,v1)
http://dbpedia.org/ontology/locationCity(v0,object) & http://dbpedia.org/ontology/industry(v0,v1) & http://dbpedia.org/ontology/industry(subject,v1)
http://dbpedia.org/ontology/country(subject,object) & http://dbpedia.org/ontology/location(v0,object) & http://dbpedia.org/ontology/promotion(v0,v0)
http://dbpedia.org/ontology/country(subject,object) & http://dbpedia.org/ontology/locationCountry(v0,object) & http://dbpedia.org/ontology/division(v0,v0)
